id,sellValue,buyValue,sellDay,buyDay
436,231,100092,2351,2543
437,153,100122,1114,2492
438,149,100053,764,4197
439,145,100114,3855,4978
440,127,100100,3420,4750
441,151,100121,4150,4299
442,139,100121,3585,9534
443,131,100122,814,7691
444,136,100104,3541,3601
445,125,100122,1131,5855
446,132,100052,2410,3036
447,126,100121,1385,2512
448,148,100007,651,713
449,129,100100,1904,2370
450,160,100096,6102,8875
451,128,100111,2158,5374
452,239,100116,1428,2447
453,125,100070,3421,4915
454,159,100113,1566,4167
455,144,100092,2330,2435
456,147,100117,134,717
457,129,100104,8129,8725
458,267,100118,514,598
459,169,100108,2487,6036
460,126,100121,3128,5341
461,343,100064,530,735
462,126,100118,705,1606
463,128,100121,621,7404
464,166,100120,1394,3522
465,138,100120,590,8051
466,150,100111,1379,6887
467,164,100105,960,1002
468,147,100092,3288,5220
469,169,100082,48,2174
470,131,100093,2183,4439
471,144,100105,951,1954
472,127,100116,1031,2287
473,142,100115,2890,3852
474,132,100119,1124,6073
475,127,100097,2492,2619
476,141,100082,5294,6750
477,128,100056,1427,2554
478,174,100027,986,1285
479,173,100089,262,1233
480,139,100062,1699,4515
481,168,100095,960,1488
482,125,100090,2637,4910
483,153,100065,727,1550
484,129,100114,1001,1671
485,133,100120,2008,6072
486,130,100080,3198,5109
487,126,100121,2308,5027
488,181,100123,2561,6932
489,126,100101,8200,8236
490,134,100122,1397,5364
491,144,100120,1262,8644
492,147,100105,2970,3630
493,142,100109,1079,4110
494,201,100123,2469,5623
495,128,100100,1097,5240
496,156,100113,4273,5050
497,138,100060,5729,7983
498,154,100026,972,1493
499,177,100124,405,957
500,169,100107,3258,3766
501,140,100120,809,10251
502,138,100098,1859,4074
503,157,100123,1469,2438
504,160,100108,1982,2883
505,144,100100,130,579
506,128,100115,947,6992
507,164,100099,636,4130
508,132,100123,4498,5546
509,284,100107,375,741
510,158,100066,952,2818
511,129,100114,864,5818
512,189,100110,1812,3426
513,195,100093,44,501
514,308,100120,1888,2778
515,130,100121,921,3401
516,134,100017,30,79
517,141,100118,362,5503
518,126,99967,21,160
519,149,99974,864,1387
520,270,100083,35,665
521,150,100070,6401,7639
522,127,100064,3914,4032
523,135,100073,5027,6468
524,126,100088,4121,4660
525,147,100120,743,803
526,134,100120,1954,4635
527,133,100102,1737,2702
528,141,100123,570,1227
529,158,100112,1542,2157
530,135,100109,3746,8521
531,161,99976,369,713
532,184,100089,718,1158
533,127,100095,1077,1445
534,186,100002,86,2740
535,129,100080,1216,3601
536,199,100095,133,1408
537,137,100105,3458,4222
538,127,100107,3337,7333
539,132,100116,72,3980
540,165,100124,611,1836
541,125,100105,2840,3977
542,133,100089,2316,2320
543,130,100123,2176,3297
544,164,100110,607,5371
545,125,100106,7322,9927
546,131,100099,308,1256
547,209,100109,991,1804
548,130,100121,4150,6859
549,136,100033,1174,1484
550,131,100079,681,3826
551,139,100063,2410,3274
552,144,100000,1377,1732
553,132,100114,1798,3872
554,198,100121,363,1779
555,129,100093,235,6315
556,168,100123,524,1631
557,149,100092,3031,3517
558,130,100124,4464,7348
559,132,100017,241,1154
560,137,100115,1721,6076
561,159,100124,3224,6338
562,133,100119,3049,6650
563,168,100061,3938,6606
564,190,100077,1049,1332
565,161,100103,95,2907
566,133,100119,438,2959
567,169,100113,612,3430
568,140,99794,621,714
569,135,100079,1140,2015
570,162,100045,2338,2857
571,185,100111,582,1722
572,136,100086,3720,7383
573,140,100084,888,4814
574,147,100111,2156,6764
575,278,99914,76,990
576,315,100004,11,29
577,181,100095,783,1773
578,147,100111,286,6242
579,133,100112,320,9519
580,149,100111,3775,6414
581,145,100116,3456,4334
582,140,100123,1108,6036
583,127,100122,500,6229
584,150,100088,1353,1636
585,144,100108,3613,3900
586,236,99734,364,994
587,162,100119,719,2380
588,134,100119,128,209
589,127,100028,3364,4215
590,129,100110,1576,4460
591,148,100088,1139,4560
592,155,100079,1889,1940
593,185,100086,2831,3784
594,138,100099,257,717
595,130,100045,434,1163
596,153,100123,3355,5174
597,173,100063,646,1059
598,190,100118,901,1091
599,139,100118,2708,2810
600,159,100106,833,893
601,133,100120,4370,7033
602,136,100112,3796,4137
603,126,100113,1041,3027
604,149,100116,82,1709
605,134,100124,1401,5330
606,136,100120,176,2350
607,141,100098,5355,6814
608,143,100120,547,1081
609,127,100120,506,9394
610,140,100118,1628,1708
611,126,100088,1041,1925
612,125,100124,1806,10302
613,133,100113,705,2109
614,366,99838,655,792
615,136,100119,4449,5660
616,192,100123,691,964
617,242,100058,362,1797
618,145,100098,2671,7249
619,210,100111,64,1273
620,139,100121,3950,4350
621,160,100115,854,3223
622,217,100066,366,3200
623,150,100049,983,2687
624,128,100054,713,943
625,161,100114,3193,4114
626,227,100115,1188,1947
627,157,99991,629,875
628,212,100121,41,1542
629,313,100090,597,646
630,146,100088,6375,8288
631,199,99929,81,926
632,132,100116,1286,1622
633,232,100052,1964,2232
634,138,100083,540,751
635,128,100100,198,456
636,126,100112,1705,4283
637,149,100082,1767,2713
638,193,100083,148,1069
639,134,100105,1244,4910
640,249,100051,1752,1764
641,196,100123,1790,3081
642,125,100113,5631,7789
643,131,100116,4648,8980
644,125,100094,5654,10829
645,201,100032,906,1251
646,145,100102,3343,5645
647,161,100059,1527,2666
648,129,100116,5362,5762
649,143,100118,8421,9626
650,200,100097,578,734
651,150,100007,216,481
652,135,100117,928,3639
653,431,100040,313,603
654,128,100017,58,913
655,170,100107,2486,4905
656,129,100105,5202,8144
657,215,100094,106,706
658,160,100112,2178,3330
659,146,100120,1044,1487
660,163,100114,1268,2312
661,135,100099,1373,4954
662,153,100114,2119,2534
663,142,100115,3482,6823
664,132,100093,5797,6941
665,135,100108,534,5006
666,129,100058,4289,7352
667,137,100021,1823,1881
668,134,100111,1280,1419
669,126,100103,760,1789
670,152,100120,263,2359
671,127,100074,656,1381
672,226,99851,644,895
673,192,100067,832,1979
674,141,100107,2668,6470
675,287,99958,465,968
676,167,100108,1137,2981
677,132,100122,2961,7055
678,140,100076,2697,3422
679,134,100124,4461,4992
680,132,100090,6980,7563
681,130,100109,1928,6814
682,140,100060,259,1632
683,131,100122,232,7155
684,136,100085,3729,5178
685,177,100090,1225,2579
686,168,100115,2978,5961
687,219,100124,1299,4309
688,150,100122,3915,5825
689,128,100053,844,1327
690,201,100118,1544,4659
691,144,100065,1980,2197
692,180,100065,125,284
693,164,100117,99,2660
694,213,100086,271,432
695,151,100102,6754,7536
696,153,100114,1379,2770
697,136,100076,544,2854
698,146,100106,3638,4047
699,140,100107,239,4337
700,131,100110,7750,8893
701,129,100108,261,4337
702,133,100114,5014,7744
703,136,100124,926,3617
704,129,100123,507,2344
705,152,100123,5585,10041
706,140,100121,5244,7036
707,182,100096,257,404
708,133,100110,806,1973
709,192,100116,5136,5744
710,188,100114,2697,6364
711,126,100031,871,915
712,197,100124,165,1041
713,171,100098,1943,3898
714,174,100037,413,583
715,146,100115,2895,3287
716,125,100123,1500,6894
717,142,100101,285,2845
718,149,100119,1181,1640
719,147,100110,4597,4684
720,219,100124,899,937
721,170,100119,384,1624
722,161,100112,4385,5806
723,138,100119,1493,6429
724,137,100095,2537,3237
725,134,100034,5225,5489
726,317,100120,135,189
727,132,100110,1568,4562
728,136,100116,930,2862
729,159,100104,2470,3352
730,201,100118,17,626
731,197,100106,2370,2810
732,128,100119,245,2141
733,166,100116,6423,6445
734,147,100064,875,1840
735,160,100122,3446,6876
736,168,100052,1090,1420
737,141,100116,482,965
738,132,100090,1715,1958
739,163,100098,2436,3653
740,127,100122,2859,6231
741,145,100082,411,2374
742,226,100085,184,740
743,150,100074,911,4919
744,157,100099,5658,6838
745,134,100105,3387,4158
746,128,100081,396,1165
747,128,100110,7402,9057
748,126,100083,5030,7098
749,228,100067,876,1171
750,217,100014,800,897
751,136,100109,7157,8997
752,133,100124,1576,3203
753,141,100117,7209,9193
754,181,100120,61,2514
755,144,100122,2542,8156
756,146,100059,583,723
757,186,100121,2519,2980
758,126,100121,3674,5746
759,180,100027,500,546
760,136,100121,3116,3796
761,166,100085,4118,4231
762,135,100119,3305,3832
763,153,100123,265,2215
764,220,99999,1298,1357
765,154,100053,5914,7881
766,154,100118,434,3471
767,184,100038,5280,5285
768,145,100085,5122,6015
769,171,100118,8106,8285
770,143,100106,2187,9826
771,126,100119,1044,2570
772,280,100054,187,786
773,183,100122,2649,4241
774,157,100097,1358,2589
775,153,100102,3574,6000
776,141,100103,1273,3331
777,138,100081,2092,2250
778,136,100087,3061,3256
779,138,100109,1063,1345
780,162,100099,3149,3715
781,128,100035,1763,2121
782,126,100114,2307,8201
783,204,100103,248,1020
784,131,100121,3813,6637
785,138,100121,3924,5235
786,132,100117,261,1713
787,147,100099,877,3299
788,142,100124,1594,2176
789,190,99774,994,1089
790,130,100106,3448,3746
791,139,100013,594,649
792,179,100070,2227,2737
793,152,100109,951,2066
794,165,100114,4586,5580
795,126,100111,3785,4114
796,129,100098,8106,8144
797,125,100080,6577,7209
798,381,100108,264,1094
799,158,100036,5366,5617
800,152,100108,1723,2480
801,125,100113,6137,7692
802,125,100118,217,1580
803,144,100109,217,4849
804,139,100092,443,5231
805,127,100077,2059,2285
806,143,100087,655,1397
807,148,100095,1468,2252
808,137,100087,2690,5843
809,130,100102,2254,4493
810,125,100099,2223,2949
811,130,100107,5496,5657
812,130,100120,3006,4637
813,130,100086,4325,4416
814,142,100095,3258,3670
815,144,100122,451,1467
816,128,100113,1505,1512
817,148,100038,2501,2947
818,130,100115,55,3249
819,130,100109,2642,3938
820,133,100092,2178,4139
821,456,99565,269,463
822,139,100123,5357,6281
823,126,100100,5241,5582
824,148,100103,5753,6510
825,201,100113,360,2479
826,145,100124,780,3507
827,181,100062,757,1562
828,261,100117,546,652
829,590,100092,13,651
830,127,100123,2668,6046
831,159,100090,974,2068
832,163,100110,3940,4318
833,128,100123,3776,8086
834,139,100108,4411,5717
835,172,100121,3014,3141
836,143,100119,1403,1813
837,656,100117,456,624
838,131,100124,2987,3241
839,346,99865,472,679
840,132,100097,2927,6968
841,145,100124,7087,8397
842,134,100107,6370,7934
843,245,100087,238,1036
844,125,100119,1591,2598
845,125,100111,2188,6805
846,171,100116,3733,4453
847,166,100120,130,1119
848,139,100085,959,3379
849,125,100115,6604,9702
850,125,100108,2478,3748
851,168,100029,1033,1470
852,136,100124,1042,2551
853,131,100114,7078,7253
854,161,100096,2111,3312
855,145,100070,1112,2005
856,131,100124,2880,10125
857,254,100087,648,4643
858,146,100107,361,819
859,131,100108,1505,2695
860,138,100115,2837,6951
861,161,100088,4147,4736
862,153,100106,4213,5162
863,128,100121,5431,7716
864,158,100109,3217,6379
865,138,100108,4112,4334
866,129,100122,4561,5357
867,192,100093,3774,6270
868,127,100111,2798,4329
869,220,100103,728,977
870,132,100087,7498,10479
871,149,100088,2426,3635
872,127,99931,492,646
873,126,100105,9694,9712
874,126,100111,91,3077
875,188,99933,742,902
876,138,100120,3237,7429
877,126,100121,1248,5526
878,176,100111,1109,1252
879,132,100097,750,5050
880,204,100067,228,350
881,130,100124,4864,7532
882,146,100119,2053,2068
883,151,100101,14,3457
884,177,100055,144,707
885,162,100105,1654,2993
886,145,100119,2244,3706
887,150,99989,884,1488
888,160,100124,3939,5114
889,178,100120,1371,4073
890,152,100124,4250,4467
891,126,100115,984,4338
892,154,100097,1569,2066
893,194,99984,2346,2718
894,147,100112,4712,5819
895,130,100048,5549,5553
896,135,100010,2549,2735
897,209,100064,4,1759
898,271,100081,14,154
899,132,100079,1992,6494
900,223,100092,3341,7326
901,144,100117,3004,4405
902,144,100112,1018,3996
903,127,100073,2295,4871
904,125,100124,695,5344
905,142,100065,62,745
906,136,99828,727,794
907,144,100122,97,3679
908,135,100118,7316,7531
909,196,100064,701,781
910,137,100117,489,1487
911,130,100120,2918,4544
912,148,100117,3641,7138
913,142,100115,1413,1742
914,174,100069,73,674
915,181,100081,2855,4771
916,128,100099,3493,6453
917,142,100119,4326,5089
918,156,100115,3374,6069
919,374,99827,103,678
920,141,100088,468,905
921,198,100099,4747,4774
922,162,100105,5983,8657
923,133,100112,3807,8358
924,181,100087,2048,3222
925,130,100118,722,6164
926,141,100109,2831,3598
927,180,100120,4491,5857
928,126,100099,4560,6211
929,128,100098,1420,3400
930,166,100116,3806,3968
931,134,100025,3865,5146
932,152,100115,3221,4247
933,158,100118,700,1772
934,137,100115,1832,4493
935,193,100088,415,1824
936,142,100110,936,1429
937,127,100108,843,3787
938,161,100069,2229,5479
939,134,100090,3417,5253
940,139,100116,725,4033
941,128,100107,3567,4956
942,157,100115,1332,1930
943,133,100063,4103,7655
944,189,100108,775,1024
945,192,100082,1268,3269
946,127,100106,2940,5258
947,128,100107,2796,5310
948,141,100122,886,5278
949,131,100122,7435,8709
950,128,100079,3581,6543
951,129,100081,7446,7684
952,127,100076,2261,2705
953,148,99954,143,1174
954,151,100080,675,1341
955,127,100111,4177,8164
956,131,100119,9113,9853
957,127,100055,2015,3498
958,125,99909,487,1406
959,165,100100,896,2679
960,432,100076,188,446
961,239,100031,2238,2494
962,127,100114,1652,1827
963,168,100112,1817,2439
964,144,100086,133,2043
965,188,100093,591,866
966,131,100106,3158,4708
967,138,100121,1969,2238
968,129,100046,1287,2935
969,125,100118,4397,4783
970,165,100111,3002,3200
971,226,100121,231,507
972,131,100107,577,4122
973,179,100114,403,1190
974,139,100106,1376,1644
975,175,100092,1563,2083
976,134,100106,6997,7393
977,125,100104,68,6452
978,145,100055,2441,2887
979,331,100062,409,637
980,229,100076,103,153
981,146,100121,2017,2914
982,131,100062,1996,3975
983,130,100110,1009,4490
984,162,100120,273,1594
985,135,100116,3744,10164
986,140,100124,1348,1667
987,151,100115,523,2639
988,129,100072,3652,4511
989,190,100117,5862,7215
990,134,100122,3993,6210
991,207,100102,522,767
992,147,100119,1524,1912
993,150,100103,712,4903
994,126,100113,2161,7973
995,143,100070,1585,4909
996,125,100074,496,2662
997,150,100058,2738,4445
998,141,100104,1218,1287
999,136,100083,4357,5664
1000,125,100117,595,3302
1001,132,100121,1885,4310
1002,185,100076,1310,1408
1003,151,100051,277,1593
1004,146,100120,701,3731
1005,156,100084,646,2371
1006,129,100115,1275,3268
1007,157,99911,922,988
1008,147,100110,116,232
1009,221,99961,587,669
1010,139,100109,5730,7772
1011,132,100093,2562,2748
1012,153,100118,343,3607
1013,137,100108,140,2786
1014,164,99963,1093,1657
1015,129,100122,210,3450
1016,160,100124,623,1578
1017,132,100067,4982,5085
1018,153,100105,3776,5941
1019,127,100089,1146,3839
1020,154,100081,86,1116
1021,228,100107,2055,3302
1022,148,100055,459,711
1023,168,100113,3640,6258
1024,157,100063,1810,1938
1025,144,100124,876,2029
1026,146,100046,1010,1037
1027,131,100114,3870,6619
1028,180,100090,2151,2367
1029,133,100105,1079,1182
1030,127,100098,4,4930
1031,135,100123,2924,7495
1032,130,100092,6496,7730
1033,168,100095,2171,3405
1034,151,100107,1818,3618
1035,159,100103,2877,3645
1036,131,100074,833,1542
1037,202,100002,768,836
1038,148,100114,6979,7736
1039,126,100118,1736,2155
1040,181,100121,2092,2919
1041,155,99878,792,1562
1042,129,100110,859,1364
1043,174,100122,218,1866
1044,131,100117,4021,4988
1045,129,100113,6781,7332
1046,134,100119,1415,3240
1047,137,100118,878,6956
1048,135,100083,3025,3924
1049,149,100117,1497,5574
1050,135,100119,5447,6660
1051,141,100121,4094,7811
1052,134,100121,5734,7590
1053,137,100117,5067,5279
1054,161,100072,1873,2619
1055,147,100123,2656,3888
1056,152,100107,1760,3273
1057,147,100119,287,3792
1058,151,100122,894,2961
1059,132,100120,106,926
1060,135,100124,4333,7275
1061,160,100118,241,1131
1062,309,100055,229,248
1063,137,100059,3617,3708
1064,146,100120,2443,3120
1065,129,100115,3257,3703
1066,147,100122,1460,5068
1067,128,100123,6082,7630
1068,130,100068,1878,5604
1069,134,100111,3656,6832
1070,126,100115,1125,3965
1071,128,100121,3763,3910
1072,152,100077,3304,5014
1073,127,100108,674,2315
1074,146,100109,49,439
1075,180,100119,793,1128
1076,174,100101,249,727
1077,136,100069,2753,3073
1078,142,100124,190,2200
1079,134,100120,781,2004
1080,168,100124,662,2496
1081,148,100051,3705,5902
1082,127,100102,1780,6103
1083,146,100092,2603,4618
1084,146,100091,1077,2021
1085,130,100119,2972,5366
1086,190,100105,1028,2246
1087,172,100112,1305,2852
1088,141,100121,1703,10390
1089,131,100084,4518,5610
1090,130,100117,4944,5162
1091,125,100120,1888,7685
1092,134,100111,4019,6755
1093,127,100111,1696,2016
1094,130,100104,1480,3191
1095,141,100099,2395,7423
1096,157,100109,9135,10428
1097,323,100104,707,709
1098,246,100084,75,79
1099,126,100119,899,9264
1100,180,100119,1676,2990
1101,147,100088,1230,3078
1102,142,100122,5243,6668
1103,180,100113,4174,4248
1104,127,100084,95,6208
1105,134,100122,1954,4532
1106,152,100119,2330,2492
